"cx","paired","gtex","sra_stemcells","sra_adult","sra_placenta","developmental","unexplained","other","all"
"Acute_Myeloid_Leukemia","1138026","607335","11047","183003","2216","109955","427768","660824","2406185"
"Adrenocortical_Carcinoma","0","941404","654","7830","319","4343","22053","32508","973912"
"Bladder_Urothelial_Carcinoma","665025","1736724","7109","58874","2549","32914","155124","234154","2635903"
"Brain_Lower_Grade_Glioma","2243138","604188","5551","64093","1113","36027","165091","251439","3098765"
"Breast_Invasive_Carcinoma","1937478","2075580","15297","170106","4711","86223","441104","661956","4675014"
"Cervical_Squamous_Cell_Carcinoma_and_Endocervical_Adenocarcinoma","260438","1888245","5084","45625","1214","24362","111091","170893","2319576"
"Cholangiocarcinoma","559054","195112","374","3790","107","1786","8399","13232","767398"
"Colon_Adenocarcinoma","1447419","781411","6695","64988","2323","39255","155589","242637","2471467"
"Esophageal_Carcinoma","2298165","1640989","28352","349351","7449","222545","1039014","1512811","5451965"
"Glioblastoma_Multiforme","1930725","437838","3810","35154","904","21296","75111","124048","2492611"
"Head_and_Neck_Squamous_Cell_Carcinoma","1892407","679460","8624","72107","2017","37574","177027","271730","2843597"
"Kidney_Chromophobe","664804","377397","942","10778","393","5670","28961","43212","1085413"
"Kidney_Renal_Clear_Cell_Carcinoma","1209558","1715900","6706","93435","2383","43249","197822","315355","3240813"
"Kidney_Renal_Papillary_Cell_Carcinoma","900875","995796","2456","33239","795","16233","85284","127912","2024583"
"Liver_Hepatocellular_Carcinoma","1020442","869537","3194","43871","1140","17752","91086","145385","2035364"
"Lung_Adenocarcinoma","1798625","1091992","9424","95291","2801","47217","229442","352005","3242622"
"Lung_Squamous_Cell_Carcinoma","1824999","1193233","11342","92301","2918","51483","212501","336383","3354615"
"Lymphoid_Neoplasm_Diffuse_Large_B_cell_Lymphoma","0","793306","639","9851","279","3946","16201","28060","821366"
"Mesothelioma","924812","225835","1279","11387","368","6015","27214","42134","1192781"
"Ovarian_Serous_Cystadenocarcinoma","1319722","3772936","41330","542738","9460","399808","2739236","3543632","8636290"
"Pancreatic_Adenocarcinoma","925750","668029","1824","20854","464","10008","49429","76056","1669835"
"Pheochromocytoma_and_Paraganglioma","1026227","453856","1512","19085","565","10676","53453","79220","1559303"
"Prostate_Adenocarcinoma","1307557","1115552","4528","55616","1311","29030","159220","232058","2655167"
"Rectum_Adenocarcinoma","1036414","345208","2200","21823","766","13570","42408","71635","1453257"
"Sarcoma","1175064","810760","3392","31671","1011","18793","77762","121065","2106889"
"Skin_Cutaneous_Melanoma","1784018","709033","6098","62444","1645","33808","148206","230316","2723367"
"Stomach_Adenocarcinoma","1972253","2872142","37307","494846","10316","318080","1787745","2470823","7315218"
"Testicular_Germ_Cell_Tumors","1237998","389331","9431","26027","1256","21314","49836","91528","1718857"
"Thymoma","292715","1071739","2138","19938","442","10514","40450","66037","1430491"
"Thyroid_Carcinoma","1689929","811366","4070","54285","1246","26916","147977","218199","2719494"
"Uterine_Carcinosarcoma","644516","348498","1193","8062","341","5792","22474","34270","1027284"
"Uterine_Corpus_Endometrial_Carcinoma","1115022","1384319","7190","70746","2954","40234","155889","249707","2749048"
