"cx","paired","gtex","sra_stemcells","sra_adult","sra_embryo_ectoderm","sra_embryo_embryo","sra_embryo_lateembryo","sra_embryo_mesenchyme","sra_embryo_myoblast","sra_neonate_fetal","sra_zygote","sra_oocyte","sra_placenta","developmental","unexplained","other","all"
"Acute_Myeloid_Leukemia","1138026","607335","11047","183003","4708","106044","0","0","6449","36646","3052","1202","2216","109955","427768","660824","2406185"
"Adrenocortical_Carcinoma","0","941404","654","7830","108","4171","0","0","267","545","198","62","319","4343","22053","32508","973912"
"Bladder_Urothelial_Carcinoma","665025","1736724","7109","58874","1054","31410","0","0","1711","4431","1886","565","2549","32914","155124","234154","2635903"
"Brain_Lower_Grade_Glioma","2243138","604188","5551","64093","689","33499","0","0","1896","4587","1534","389","1113","36027","165091","251439","3098765"
"Breast_Invasive_Carcinoma","1937478","2075580","15297","170106","2707","81165","0","0","4620","12109","3968","1180","4711","86223","441104","661956","4675014"
"Cervical_Squamous_Cell_Carcinoma_and_Endocervical_Adenocarcinoma","260438","1888245","5084","45625","808","22641","0","0","1247","3569","1174","390","1214","24362","111091","170893","2319576"
"Cholangiocarcinoma","559054","195112","374","3790","56","1674","0","0","114","237","88","25","107","1786","8399","13232","767398"
"Colon_Adenocarcinoma","1447419","781411","6695","64988","1257","38109","0","0","1772","4753","1398","385","2323","39255","155589","242637","2471467"
"Esophageal_Carcinoma","2298165","1640989","28352","349351","8712","211743","0","0","14113","53944","9484","3246","7449","222545","1039014","1512811","5451965"
"Glioblastoma_Multiforme","1930725","437838","3810","35154","506","19735","0","0","1495","2785","1018","310","904","21296","75111","124048","2492611"
"Head_and_Neck_Squamous_Cell_Carcinoma","1892407","679460","8624","72107","1116","34024","0","0","2241","6048","2036","666","2017","37574","177027","271730","2843597"
"Kidney_Chromophobe","664804","377397","942","10778","102","5325","0","0","313","744","462","118","393","5670","28961","43212","1085413"
"Kidney_Renal_Clear_Cell_Carcinoma","1209558","1715900","6706","93435","1209","40416","0","0","2508","6396","1753","502","2383","43249","197822","315355","3240813"
"Kidney_Renal_Papillary_Cell_Carcinoma","900875","995796","2456","33239","401","15103","0","0","852","2344","807","251","795","16233","85284","127912","2024583"
"Liver_Hepatocellular_Carcinoma","1020442","869537","3194","43871","587","16828","0","0","1016","2175","1179","366","1140","17752","91086","145385","2035364"
"Lung_Adenocarcinoma","1798625","1091992","9424","95291","1783","44630","0","0","2631","6991","2446","730","2801","47217","229442","352005","3242622"
"Lung_Squamous_Cell_Carcinoma","1824999","1193233","11342","92301","1419","48497","0","0","2640","6750","3354","1061","2918","51483","212501","336383","3354615"
"Lymphoid_Neoplasm_Diffuse_Large_B_cell_Lymphoma","0","793306","639","9851","105","3813","0","0","194","549","302","100","279","3946","16201","28060","821366"
"Mesothelioma","924812","225835","1279","11387","186","5535","0","0","414","937","316","104","368","6015","27214","42134","1192781"
"Ovarian_Serous_Cystadenocarcinoma","1319722","3772936","41330","542738","14917","382838","0","0","18932","79347","20027","7596","9460","399808","2739236","3543632","8636290"
"Pancreatic_Adenocarcinoma","925750","668029","1824","20854","268","9189","0","0","605","1493","428","113","464","10008","49429","76056","1669835"
"Pheochromocytoma_and_Paraganglioma","1026227","453856","1512","19085","226","10027","0","0","639","1309","593","171","565","10676","53453","79220","1559303"
"Prostate_Adenocarcinoma","1307557","1115552","4528","55616","769","27258","0","0","1465","4121","1494","386","1311","29030","159220","232058","2655167"
"Rectum_Adenocarcinoma","1036414","345208","2200","21823","348","13100","0","0","656","1574","563","168","766","13570","42408","71635","1453257"
"Sarcoma","1175064","810760","3392","31671","445","17186","0","0","1589","2672","964","328","1011","18793","77762","121065","2106889"
"Skin_Cutaneous_Melanoma","1784018","709033","6098","62444","907","30595","0","0","2172","5304","1880","575","1645","33808","148206","230316","2723367"
"Stomach_Adenocarcinoma","1972253","2872142","37307","494846","12434","303629","0","0","18391","68363","14397","4965","10316","318080","1787745","2470823","7315218"
"Testicular_Germ_Cell_Tumors","1237998","389331","9431","26027","369","20925","0","0","952","1932","2748","986","1256","21314","49836","91528","1718857"
"Thymoma","292715","1071739","2138","19938","273","9963","0","0","530","1312","658","190","442","10514","40450","66037","1430491"
"Thyroid_Carcinoma","1689929","811366","4070","54285","573","24951","0","0","1470","4062","1142","311","1246","26916","147977","218199","2719494"
"Uterine_Carcinosarcoma","644516","348498","1193","8062","143","5514","0","0","434","638","414","158","341","5792","22474","34270","1027284"
"Uterine_Corpus_Endometrial_Carcinoma","1115022","1384319","7190","70746","1373","38830","0","0","2248","5556","2031","607","2954","40234","155889","249707","2749048"
